Driver,Team,LapTime,LapNumber,Stint,TyreLife,FreshTyre,Compound,TrackTemp,AirTemp,Sector1Time,Sector2Time,Sector3Time,Location,Year,Country,EventName,EventDate,TrackLenght,NumTurns,RaceDistance,NumLaps,Taction,AsphaltGrip,AsphaltAbrasion,TrackEvolution,TyreStress,Braking,LateralLoad,Downforce,Soft,Medium,Hard
OCO,Haas F1 Team,77.517,2.0,1.0,2.0,True,SOFT,39.1,30.7,27.066,17.337,33.114,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
RUS,Mercedes,77.21,2.0,1.0,2.0,True,MEDIUM,39.1,30.7,26.777,17.431,33.002,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
DOO,Alpine,76.999,2.0,1.0,2.0,True,SOFT,39.5,30.4,26.74,17.282,32.977,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
HUL,Kick Sauber,76.925,2.0,1.0,2.0,True,SOFT,39.5,30.4,26.605,17.309,33.011,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
SAI,Williams,77.65,2.0,1.0,2.0,True,SOFT,39.5,30.4,27.029,17.351,33.27,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
ALO,Aston Martin,76.546,2.0,1.0,2.0,True,SOFT,39.5,30.4,26.495,17.304,32.747,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
LAW,Red Bull Racing,77.094,2.0,1.0,2.0,True,SOFT,39.5,30.4,26.819,17.362,32.913,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
ALB,Williams,76.963,2.0,1.0,2.0,True,SOFT,40.2,30.1,26.756,17.281,32.926,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
STR,Aston Martin,76.95,2.0,1.0,2.0,True,SOFT,40.2,30.1,26.697,17.289,32.964,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
GAS,Alpine,76.839,2.0,1.0,2.0,True,SOFT,40.2,30.1,26.64,17.369,32.83,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
ANT,Mercedes,77.449,2.0,1.0,2.0,True,MEDIUM,40.2,30.1,26.892,17.476,33.081,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
LEC,Ferrari,76.453,2.0,1.0,2.0,True,SOFT,40.2,30.1,26.558,17.265,32.63,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
HAM,Ferrari,76.744,2.0,1.0,2.0,True,SOFT,40.5,29.9,26.49,17.391,32.863,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
NOR,McLaren,76.003,2.0,1.0,2.0,True,SOFT,40.5,29.9,26.383,17.285,32.335,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
PIA,McLaren,76.157,2.0,1.0,2.0,True,SOFT,41.5,29.9,26.452,17.204,32.501,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
VER,Red Bull Racing,76.018,2.0,1.0,2.0,True,SOFT,41.5,29.9,26.366,17.171,32.481,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
BOR,Kick Sauber,76.771,4.0,2.0,2.0,True,SOFT,41.5,29.8,26.423,17.272,33.076,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
DOO,Alpine,76.729,5.0,1.0,5.0,True,SOFT,40.2,29.8,26.534,17.153,33.042,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
SAI,Williams,76.44,5.0,1.0,5.0,True,SOFT,40.2,29.8,26.466,17.168,32.806,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
ALB,Williams,76.563,5.0,1.0,5.0,True,SOFT,40.2,29.8,26.58,17.141,32.842,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
HAD,Racing Bulls,76.725,2.0,1.0,2.0,True,SOFT,40.2,29.8,26.65,17.221,32.854,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
RUS,Mercedes,76.295,5.0,2.0,5.0,False,MEDIUM,40.2,29.7,26.416,17.163,32.716,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
TSU,Racing Bulls,76.752,2.0,1.0,2.0,True,SOFT,40.2,29.7,26.69,17.234,32.828,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
GAS,Alpine,76.825,5.0,1.0,5.0,True,SOFT,40.2,29.7,26.606,17.241,32.978,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
OCO,Haas F1 Team,77.147,5.0,2.0,2.0,True,SOFT,40.2,29.7,26.686,17.206,33.255,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
LEC,Ferrari,76.029,5.0,2.0,2.0,True,SOFT,40.2,29.7,26.411,17.144,32.474,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
ALO,Aston Martin,76.288,5.0,2.0,2.0,True,SOFT,40.2,29.7,26.3,17.107,32.881,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
STR,Aston Martin,76.659,5.0,2.0,2.0,True,SOFT,40.2,29.7,26.364,17.191,33.104,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
NOR,McLaren,75.912,5.0,2.0,5.0,False,SOFT,40.2,29.7,26.463,17.116,32.333,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
HAM,Ferrari,76.402,5.0,2.0,5.0,False,SOFT,40.2,29.7,26.451,17.243,32.708,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
PIA,McLaren,76.062,5.0,2.0,5.0,False,SOFT,40.2,29.7,26.27,17.114,32.678,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
ANT,Mercedes,76.766,5.0,2.0,2.0,True,SOFT,40.7,29.6,26.585,17.427,32.754,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
SAI,Williams,76.36,8.0,2.0,2.0,True,SOFT,40.7,30.0,26.477,17.175,32.708,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
RUS,Mercedes,75.971,8.0,3.0,2.0,True,SOFT,41.3,30.1,26.366,17.086,32.519,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
TSU,Racing Bulls,76.225,5.0,2.0,2.0,True,SOFT,41.3,30.1,26.468,17.173,32.584,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
ANT,Mercedes,76.525,8.0,2.0,5.0,True,SOFT,41.3,30.1,26.443,17.166,32.916,Melbourne,2025,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
