Driver,Team,LapTime,LapNumber,Stint,TyreLife,FreshTyre,Compound,TrackTemp,AirTemp,Sector1Time,Sector2Time,Sector3Time,Location,Year,Country,EventName,EventDate,TrackLenght,NumTurns,RaceDistance,NumLaps,Taction,AsphaltGrip,AsphaltAbrasion,TrackEvolution,TyreStress,Braking,LateralLoad,Downforce,Soft,Medium,Hard
BOT,Alfa Romeo,80.577,2.0,1.0,2.0,True,SOFT,21.8,14.8,28.254,18.317,34.006,Melbourne,2023,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
ZHO,Alfa Romeo,79.958,2.0,1.0,2.0,True,SOFT,21.8,14.8,28.049,18.03,33.879,Melbourne,2023,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
MAG,Haas F1 Team,79.392,2.0,1.0,2.0,True,SOFT,21.8,14.8,27.65,18.066,33.676,Melbourne,2023,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
NOR,McLaren,79.566,2.0,1.0,2.0,True,SOFT,21.8,14.8,27.712,18.088,33.766,Melbourne,2023,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
ALB,Williams,78.944,3.0,1.0,3.0,True,SOFT,21.9,14.8,27.334,17.895,33.715,Melbourne,2023,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
TSU,AlphaTauri,81.765,3.0,1.0,3.0,True,SOFT,22.1,14.9,27.472,18.147,36.146,Melbourne,2023,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
DEV,AlphaTauri,79.994,3.0,1.0,3.0,True,SOFT,22.1,14.9,27.814,18.227,33.953,Melbourne,2023,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
HUL,Haas F1 Team,78.373,3.0,1.0,3.0,True,SOFT,22.1,14.9,27.066,17.889,33.418,Melbourne,2023,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
PIA,McLaren,79.556,3.0,1.0,3.0,True,SOFT,22.1,14.9,27.742,18.115,33.699,Melbourne,2023,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
VER,Red Bull Racing,78.063,4.0,2.0,4.0,False,SOFT,23.0,15.2,27.126,17.577,33.36,Melbourne,2023,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
ALO,Aston Martin,79.077,4.0,2.0,4.0,False,SOFT,23.0,15.2,27.647,17.863,33.567,Melbourne,2023,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
STR,Aston Martin,78.519,4.0,2.0,2.0,True,SOFT,23.0,15.2,27.227,17.739,33.553,Melbourne,2023,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
RUS,Mercedes,79.036,4.0,2.0,4.0,False,SOFT,23.0,15.2,27.388,17.88,33.768,Melbourne,2023,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
HAM,Mercedes,78.689,4.0,2.0,4.0,False,SOFT,23.0,15.2,27.465,17.804,33.42,Melbourne,2023,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
ALB,Williams,78.143,7.0,2.0,3.0,True,SOFT,23.1,15.3,27.101,17.48,33.562,Melbourne,2023,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
SAI,Ferrari,78.347,5.0,2.0,5.0,False,SOFT,23.1,15.3,27.186,17.793,33.368,Melbourne,2023,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
LEC,Ferrari,78.815,5.0,2.0,5.0,False,SOFT,23.2,15.3,27.379,17.769,33.667,Melbourne,2023,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
NOR,McLaren,78.632,7.0,2.0,3.0,True,SOFT,23.2,15.3,27.277,17.871,33.484,Melbourne,2023,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
