Time,Driver,DriverNumber,Team,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,FreshTyre,AirTemp,TrackTemp,Rainfall,Humidity,WindSpeed,WindDirection,TrackLenght,NumTurns,Traction,AsphaltGrip,AsphaltAbrasion,TrackEvolution,TyreStress,Braking,LateralLoad,Downforce,Soft,Medium,Hard,Location,Country,Year,EventDate,Quali_Rank,Max_Straight_Speed,Avg_Lap_Speed,Min_Corner_Speed,Peak_Cornering_G,Peak_Braking_G,Peak_Acceleration_G,Peak_Downforce_N,Avg_Downforce_N,Peak_Drag_N,Peak_Front_Load_N,Peak_Rear_Load_N,Team_Pace_EMA,Driver_Teammate_Gap_EMA,Driver_Consistency_EMA,Degradation_EMA
0 days 01:14:47.968000,LEC,16,Ferrari,90.558,14.0,5.0,29.115,38.702,22.741,SOFT,2.0,True,19.4,24.3,False,51.0,0.6,343,5.412,15,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022,2022-03-20,1.0,88.33333333333333,59.24410447122759,35.03356325925926,6.315997149498061,-5.639209910664137,1.65533529925732,30061.176736111112,15110.574495742507,8124.64236111111,15967.697324575285,23405.277477666164,-1.6064208236208282,-0.4187094861660081,1.29494535668946,0.138100274725275
0 days 01:15:15.614000,VER,1,Red Bull Racing,90.681,13.0,4.0,28.97,38.832,22.879,SOFT,2.0,True,19.4,24.2,False,51.0,0.8,2,5.412,15,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022,2022-03-20,2.0,89.44444444444444,58.978948683940544,24.943576666666665,6.049043470844844,-4.409588478657851,2.1499942479302274,30822.189081790122,14709.98250977528,8330.321373456789,15830.6959826989,23927.015267301096,-1.454665669671699,-0.2142584204413475,1.1765898299954742,0.1312532134532137
0 days 01:07:34.650000,SAI,55,Ferrari,90.687,11.0,4.0,29.036,38.842,22.809,SOFT,2.0,True,19.3,24.5,False,53.0,0.5,354,5.412,15,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022,2022-03-20,3.0,88.05555555555556,59.10269376891889,34.72222222222222,6.617073224701034,-5.031731474246152,2.2380763464826017,29872.410001929013,14717.819359979563,8073.6243248456785,15139.07630117489,23294.98684177142,-1.6064208236208282,0.4187094861660081,1.2854643948236797,0.0883002076355019
0 days 01:15:21.593000,PER,11,Red Bull Racing,90.921,17.0,6.0,29.18,38.894,22.847,SOFT,2.0,True,19.4,24.2,False,51.0,0.8,2,5.412,15,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022,2022-03-20,4.0,89.72222222222221,58.9730487179066,36.388888888888886,6.820775044670068,-4.622779195122462,1.6714517339643533,31013.928520447527,14899.578713116058,8382.142843364196,16030.054735813212,24011.176938430777,-1.454665669671699,0.2142584204413475,1.2781444641339588,0.1140153100575896
0 days 00:55:33.904000,HAM,44,Mercedes,91.048,10.0,3.0,29.1,39.038,22.91,SOFT,2.0,True,19.3,25.0,False,55.0,0.6,10,5.412,15,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022,2022-03-20,5.0,88.05555555555556,59.004300319105326,26.944444444444443,6.203373847129861,-4.674010491754615,1.6682667786712893,29872.410001929013,14982.63198163258,8073.6243248456785,14955.89279968398,23263.427286413884,-0.951461819789411,-0.3402341437632145,1.1727430103512866,0.1000509964483031
0 days 01:14:42.047000,BOT,77,Kick Sauber,91.56,14.0,5.0,29.203,39.296,23.061,SOFT,2.0,True,19.4,24.3,False,51.0,0.6,343,5.412,15,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022,2022-03-20,6.0,87.77777777777777,58.564858910110715,21.944444444444443,5.678949150506425,-5.1008705140331,1.6178927146140683,29684.23780864197,14615.656090123959,8022.76697530864,16242.405284289263,23164.21883683127,0.0328354809983972,-0.0730444444444454,1.502042063863778,0.0761586361007415
0 days 00:45:43.397000,MAG,20,Haas F1 Team,91.461,8.0,3.0,29.391,39.191,22.879,SOFT,2.0,True,19.4,25.1,False,55.0,0.5,7,5.412,15,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022,2022-03-20,7.0,88.61111111111111,58.72465389810682,35.27777777777778,6.07793754948979,-4.699044040395675,1.6219872135961024,30250.538011188273,14832.226487718432,8175.821084104939,15326.96476728019,23533.814768402597,0.217927156177151,-1.0968010335917315,1.438348735828202,0.0966480913694144
0 days 00:55:23.970000,ALO,14,Alpine,91.621,10.0,4.0,29.306,39.305,23.01,SOFT,2.0,True,19.3,25.0,False,55.0,0.6,10,5.412,15,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022,2022-03-20,8.0,88.88888888888889,58.44960391636041,31.955555555555556,6.05471585699385,-4.407432932058313,1.9533541980487379,30440.493827160495,14497.06889314681,8227.16049382716,15468.916114760259,23638.699307336625,0.0056504182092373,0.2550913621262453,1.2284473125256803,0.1213049366639486
0 days 00:55:29.527000,RUS,63,Mercedes,91.252,10.0,3.0,29.197,39.104,22.951,SOFT,2.0,True,19.3,25.0,False,55.0,0.6,10,5.412,15,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022,2022-03-20,9.0,87.5,58.73824812378128,24.444444444444443,6.366243961793166,-4.733578094559734,1.6287611968861673,29496.66015625,14653.763756774344,7972.0703125,15542.248419811292,23028.989958003258,-0.951461819789411,0.3402341437632145,1.1954415628239008,0.0544655011655014
0 days 00:55:49.280000,GAS,10,RB,91.635,14.0,5.0,29.253,39.335,23.047,SOFT,2.0,True,19.3,25.0,False,55.0,0.6,10,5.412,15,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022,2022-03-20,10.0,87.77777777777777,58.48717849722497,24.555555555555557,6.502141106881685,-6.172618364669459,1.607232972377163,29684.23780864197,14672.168860029575,8022.76697530864,14931.405667806648,23174.937106795587,0.0390973335607433,0.1494364937388189,1.017922320318416,0.084113012477718
