Time,Driver,DriverNumber,Team,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,FreshTyre,Position,AirTemp,TrackTemp,Rainfall,Humidity,WindSpeed,WindDirection,TrackLenght,NumTurns,NumLaps,RaceDistance,Traction,AsphaltGrip,AsphaltAbrasion,TrackEvolution,TyreStress,Braking,LateralLoad,Downforce,Soft,Medium,Hard,Location,Country,Year
0 days 01:29:48.597000,ALB,23,Williams,98.281,8.0,4.0,35.515,20.233,42.533,INTERMEDIATE,6.0,False,7.0,15.9,19.1,False,75.0,4.5,241,5.278,14,58,306.124,2,2,2,3,3,2,3,3,C5,C4,C3,Melbourne,Australia,2025
0 days 01:31:24.897000,ALB,23,Williams,96.3,9.0,4.0,34.639,19.865,41.796,INTERMEDIATE,7.0,False,7.0,15.9,19.1,False,76.0,1.9,288,5.278,14,58,306.124,2,2,2,3,3,2,3,3,C5,C4,C3,Melbourne,Australia,2025
0 days 01:32:59.391000,ALB,23,Williams,94.494,10.0,4.0,33.776,19.742,40.976,INTERMEDIATE,8.0,False,7.0,15.9,19.1,False,74.0,4.1,282,5.278,14,58,306.124,2,2,2,3,3,2,3,3,C5,C4,C3,Melbourne,Australia,2025
0 days 01:34:33.597000,ALB,23,Williams,94.206,11.0,4.0,33.54,19.704,40.962,INTERMEDIATE,9.0,False,7.0,15.9,19.1,False,76.0,2.5,253,5.278,14,58,306.124,2,2,2,3,3,2,3,3,C5,C4,C3,Melbourne,Australia,2025
0 days 01:36:07.310000,ALB,23,Williams,93.713,12.0,4.0,33.608,19.618,40.487,INTERMEDIATE,10.0,False,7.0,16.0,19.1,False,74.0,3.6,259,5.278,14,58,306.124,2,2,2,3,3,2,3,3,C5,C4,C3,Melbourne,Australia,2025
0 days 01:37:40.463000,ALB,23,Williams,93.153,13.0,4.0,32.977,19.626,40.55,INTERMEDIATE,11.0,False,7.0,16.0,19.3,False,75.0,2.6,217,5.278,14,58,306.124,2,2,2,3,3,2,3,3,C5,C4,C3,Melbourne,Australia,2025
0 days 01:39:13.180000,ALB,23,Williams,92.717,14.0,4.0,32.616,19.518,40.583,INTERMEDIATE,12.0,False,7.0,16.0,19.3,False,75.0,3.3,254,5.278,14,58,306.124,2,2,2,3,3,2,3,3,C5,C4,C3,Melbourne,Australia,2025
0 days 01:40:45.913000,ALB,23,Williams,92.733,15.0,4.0,32.697,19.708,40.328,INTERMEDIATE,13.0,False,7.0,16.0,19.3,True,75.0,2.8,268,5.278,14,58,306.124,2,2,2,3,3,2,3,3,C5,C4,C3,Melbourne,Australia,2025
0 days 01:42:18.377000,ALB,23,Williams,92.464,16.0,4.0,32.739,19.55,40.175,INTERMEDIATE,14.0,False,7.0,16.0,19.3,False,75.0,2.3,250,5.278,14,58,306.124,2,2,2,3,3,2,3,3,C5,C4,C3,Melbourne,Australia,2025
0 days 01:43:51.465000,ALB,23,Williams,93.088,17.0,4.0,32.561,19.584,40.943,INTERMEDIATE,15.0,False,7.0,16.0,19.3,True,74.0,2.2,268,5.278,14,58,306.124,2,2,2,3,3,2,3,3,C5,C4,C3,Melbourne,Australia,2025
0 days 01:45:24.446000,ALB,23,Williams,92.981,18.0,4.0,32.835,19.417,40.729,INTERMEDIATE,16.0,False,7.0,16.1,19.4,True,74.0,2.6,249,5.278,14,58,306.124,2,2,2,3,3,2,3,3,C5,C4,C3,Melbourne,Australia,2025
0 days 01:46:57.497000,ALB,23,Williams,93.051,19.0,4.0,33.147,19.406,40.498,INTERMEDIATE,17.0,False,7.0,16.0,19.4,True,74.0,3.9,229,5.278,14,58,306.124,2,2,2,3,3,2,3,3,C5,C4,C3,Melbourne,Australia,2025
0 days 01:48:29.853000,ALB,23,Williams,92.356,20.0,4.0,32.781,19.214,40.361,INTERMEDIATE,18.0,False,7.0,16.1,19.4,True,75.0,1.9,273,5.278,14,58,306.124,2,2,2,3,3,2,3,3,C5,C4,C3,Melbourne,Australia,2025
0 days 01:50:01.889000,ALB,23,Williams,92.036,21.0,4.0,32.606,19.344,40.086,INTERMEDIATE,19.0,False,7.0,16.0,19.4,True,74.0,3.7,278,5.278,14,58,306.124,2,2,2,3,3,2,3,3,C5,C4,C3,Melbourne,Australia,2025
0 days 01:51:33.942000,ALB,23,Williams,92.053,22.0,4.0,32.52,19.255,40.278,INTERMEDIATE,20.0,False,7.0,16.0,19.4,True,75.0,2.5,232,5.278,14,58,306.124,2,2,2,3,3,2,3,3,C5,C4,C3,Melbourne,Australia,2025
0 days 01:53:05.692000,ALB,23,Williams,91.75,23.0,4.0,32.667,19.169,39.914,INTERMEDIATE,21.0,False,7.0,15.9,19.2,True,75.0,3.4,231,5.278,14,58,306.124,2,2,2,3,3,2,3,3,C5,C4,C3,Melbourne,Australia,2025
0 days 01:54:37.560000,ALB,23,Williams,91.868,24.0,4.0,32.559,19.139,40.17,INTERMEDIATE,22.0,False,7.0,15.9,19.2,True,76.0,2.4,283,5.278,14,58,306.124,2,2,2,3,3,2,3,3,C5,C4,C3,Melbourne,Australia,2025
0 days 01:56:08.574000,ALB,23,Williams,91.014,25.0,4.0,32.264,19.137,39.613,INTERMEDIATE,23.0,False,7.0,15.8,19.2,False,77.0,2.6,257,5.278,14,58,306.124,2,2,2,3,3,2,3,3,C5,C4,C3,Melbourne,Australia,2025
0 days 01:57:39.883000,ALB,23,Williams,91.309,26.0,4.0,32.562,19.127,39.62,INTERMEDIATE,24.0,False,7.0,15.7,19.2,False,76.0,3.7,257,5.278,14,58,306.124,2,2,2,3,3,2,3,3,C5,C4,C3,Melbourne,Australia,2025
0 days 01:59:10.335000,ALB,23,Williams,90.452,27.0,4.0,32.063,19.107,39.282,INTERMEDIATE,25.0,False,7.0,15.7,19.2,True,78.0,2.4,208,5.278,14,58,306.124,2,2,2,3,3,2,3,3,C5,C4,C3,Melbourne,Australia,2025
0 days 02:00:40.667000,ALB,23,Williams,90.332,28.0,4.0,32.112,19.035,39.185,INTERMEDIATE,26.0,False,7.0,15.7,19.1,False,77.0,3.2,249,5.278,14,58,306.124,2,2,2,3,3,2,3,3,C5,C4,C3,Melbourne,Australia,2025
0 days 02:02:10.690000,ALB,23,Williams,90.023,29.0,4.0,31.76,19.016,39.247,INTERMEDIATE,27.0,False,7.0,15.7,19.1,False,77.0,2.5,229,5.278,14,58,306.124,2,2,2,3,3,2,3,3,C5,C4,C3,Melbourne,Australia,2025
0 days 02:03:40.318000,ALB,23,Williams,89.628,30.0,4.0,31.511,18.876,39.241,INTERMEDIATE,28.0,False,7.0,15.7,19.1,False,77.0,2.7,250,5.278,14,58,306.124,2,2,2,3,3,2,3,3,C5,C4,C3,Melbourne,Australia,2025
0 days 02:05:10.371000,ALB,23,Williams,90.053,31.0,4.0,31.829,19.026,39.198,INTERMEDIATE,29.0,False,7.0,15.7,19.1,False,77.0,3.1,218,5.278,14,58,306.124,2,2,2,3,3,2,3,3,C5,C4,C3,Melbourne,Australia,2025
0 days 02:06:40.557000,ALB,23,Williams,90.186,32.0,4.0,32.0,19.029,39.157,INTERMEDIATE,30.0,False,7.0,15.8,19.1,False,77.0,2.1,245,5.278,14,58,306.124,2,2,2,3,3,2,3,3,C5,C4,C3,Melbourne,Australia,2025
