Driver,Location,Year,Team,EventDate,Team_Pace_EMA,Driver_Teammate_Gap_EMA,Driver_Consistency_EMA,Degradation_EMA
ALB,Sakhir,2022,Williams,2022-03-20,1.3519773675936415,-0.3854883720930244,1.4104887762899314,0.1574627648667117
ALO,Sakhir,2022,Alpine,2022-03-20,0.0056504182092373,0.2550913621262453,1.2284473125256803,0.1213049366639486
BOT,Sakhir,2022,Kick Sauber,2022-03-20,0.0328354809983972,-0.0730444444444454,1.502042063863778,0.0761586361007415
GAS,Sakhir,2022,RB,2022-03-20,0.0390973335607433,0.1494364937388189,1.017922320318416,0.084113012477718
HAM,Sakhir,2022,Mercedes,2022-03-20,-0.951461819789411,-0.3402341437632145,1.1727430103512866,0.1000509964483031
HUL,Sakhir,2022,Aston Martin,2022-03-20,1.208946636696632,0.5707380952380953,1.8222919393750447,0.2273862372122762
LAT,Sakhir,2022,Williams,2022-03-20,1.3519773675936415,0.3854883720930244,1.4246604934491185,0.14883516642671
LEC,Sakhir,2022,Ferrari,2022-03-20,-1.6064208236208282,-0.4187094861660081,1.29494535668946,0.138100274725275
MAG,Sakhir,2022,Haas F1 Team,2022-03-20,0.217927156177151,-1.0968010335917315,1.438348735828202,0.0966480913694144
MSC,Sakhir,2022,Haas F1 Team,2022-03-20,0.217927156177151,1.0968010335917315,1.6232264239026577,0.1688778004655141
NOR,Sakhir,2022,McLaren,2022-03-20,1.2438633033632989,0.2606666666666661,1.891545827286439,0.1883003743587372
OCO,Sakhir,2022,Alpine,2022-03-20,0.0056504182092373,-0.2550913621262453,1.1762085158968263,0.0372126873126875
PER,Sakhir,2022,Red Bull Racing,2022-03-20,-1.454665669671699,0.2142584204413475,1.2781444641339588,0.1140153100575896
RIC,Sakhir,2022,McLaren,2022-03-20,1.2438633033632989,-0.2606666666666661,1.6010346168546812,0.1213050338530772
RUS,Sakhir,2022,Mercedes,2022-03-20,-0.951461819789411,0.3402341437632145,1.1954415628239008,0.0544655011655014
